1; Draft.Scratch_smt_check_7_10857; 2026-04-10 13:47:25.526;
bind: 340000,
cong: 182000,177000,
refl: 36000,
symm: 157000,212000,
false: 22000,
trans: 143000,239000,215000,
equiv2: 217000,226000,
not_not: 232000,
parsing: 1425000,
evaluate: 338000,
poly_simp: 7510000,
equiv_pos2: 107000,202000,55000,
resolution: 219000,284000,331000,3596000,331000,428000,310000,401000,
forall_inst: 1271000,
poly_simp_rel: 1873000,
equiv_simplify: 397000,2522000,
__normalized_input: 1111000,976000,1084000,4382000,1012000,

