1; Draft.Scratch_smt_check_7_29178; 2026-04-10 13:45:02.624;
bind: 561000,582000,
cong: 263000,219000,
refl: 58000,58000,
trans: 310000,327000,312000,360000,
or_pos: 386000,
implies: 383000,
parsing: 7951000,
aci_simp: 2231000,1968000,
subproof: 2931000,
equiv_pos2: 401000,434000,
reordering: 577000,
resolution: 456000,465000,477000,713000,723000,470000,526000,
contraction: 738000,
forall_inst: 1508000,
implies_neg1: 631000,
implies_neg2: 527000,
__local_input: 160000,
__normalized_input: 5227000,831000,845000,934000,
rare_rewrite_bool-impl-elim: 12245000,21943000,
rare_rewrite_bool-and-de-morgan: 11713000,12035000,

