1; Draft.Scratch_smt_check_7_20712; 2026-04-10 13:46:35.556;
bind: 648000,268000,651000,265000,440000,
cong: 232000,222000,247000,324000,149000,144000,240000,295000,151000,142000,396000,172000,368000,147000,164000,248000,609000,242000,212000,
ite2: 322000,
refl: 29000,42000,26000,44000,26000,39000,123000,148000,
symm: 278000,156000,
true: 63000,
trans: 326000,219000,222000,370000,389000,
equiv1: 401000,614000,
equiv2: 241000,501000,360000,
or_neg: 232000,249000,212000,290000,
implies: 487000,
not_not: 185000,
parsing: 22802000,
subproof: 1475000,
equiv_pos2: 265000,447000,454000,712000,666000,13523000,287000,
reordering: 327000,479000,501000,
resolution: 151000,221000,336000,421000,211000,192000,250000,292000,195000,277000,276000,444000,569000,699000,596000,274000,451000,506000,505000,459000,400000,666000,
contraction: 386000,769000,
forall_inst: 1137000,
implies_neg1: 704000,
implies_neg2: 660000,
__local_input: 147000,
connective_def: 309000,331000,505000,
equiv_simplify: 355000,508000,727000,
__normalized_input: 14688000,2074000,2007000,2201000,
rare_rewrite_ite-eq: 7090000,
rare_rewrite_eq-refl: 341000,
rare_rewrite_eq-symm: 349000,444000,
rare_rewrite_bool-and-de-morgan: 6589000,6449000,11778000,
rare_rewrite_bool-double-not-elim: 209000,

