0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = true, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_timeout = 1.000, provers = ["cvc5_proof"], slices = 96,
0.sledgehammer initialize  smt_proofs = true, spy = false, strict = false, timeout = 30.000, try0 =
0.sledgehammer initialize  false, type_enc = NONE, uncurried_aliases = NONE, verbose = true}
0.sledgehammer goal.using     40533ms Prime_Number_Theorem.Prime_Number_Theorem_Library 19:618  timeout (SH 40522ms): Timed out
0.sledgehammer goal.unfolding 45338ms Prime_Number_Theorem.Prime_Number_Theorem_Library 19:630  some (SH 45335ms, ATP 1007ms): Try this: by (smt (cvc5, fmf) homotopic_loops image_subset_iff_funcset) (2.4 s)
0.sledgehammer goal.by        41965ms Prime_Number_Theorem.Prime_Number_Theorem_Library 19:656  some (SH 41963ms, ATP 986ms): Try this: by (smt (cvc5) Pi_I funcset_mem image_subset_iff_funcset)
0.sledgehammer goal.using     45558ms Prime_Number_Theorem.Prime_Number_Theorem_Library 30:1082  some (SH 45554ms, ATP 988ms): Try this: by (smt (cvc5, fmf) assms(1,2,3,4,5,6) homotopic_paths[of s p q] image_subset_iff_funcset[of h "{0..1} \<times> {0..1}" s]) (3.4 s)
0.sledgehammer goal.unfolding 32179ms Prime_Number_Theorem.Prime_Number_Theorem_Library 30:1094  some (SH 32177ms, ATP 972ms): Try this: by (smt (cvc5, fmf) homotopic_paths[of s p q] image_subset_iff_funcset[of h "{0..1} \<times> {0..1}" s]) (2.8 s)
0.sledgehammer goal.by        43628ms Prime_Number_Theorem.Prime_Number_Theorem_Library 30:1120  some (SH 43626ms, ATP 1264ms): Try this: by (smt (cvc5) Pi_I funcset_mem image_subset_iff_funcset)
0.sledgehammer goal.proof     37774ms Prime_Number_Theorem.Prime_Number_Theorem_Library 34:1273  timeout (SH 37772ms): Timed out
0.sledgehammer goal.by        37528ms Prime_Number_Theorem.Prime_Number_Theorem_Library 37:1377  some (SH 37526ms, ATP 3290ms): Try this: by (smt (cvc5, trigger_max) bot_nat_0.not_eq_extremum id_apply mangoldt_sum of_real_eq_id sum_upto_cong) (437 ms)
0.sledgehammer goal.by        36991ms Prime_Number_Theorem.Prime_Number_Theorem_Library 39:1509  timeout (SH 36989ms): Timed out
0.sledgehammer goal.unfolding 37616ms Prime_Number_Theorem.Prime_Number_Theorem_Library 41:1610  timeout (SH 37614ms): Timed out
