1; Draft.Scratch_smt_check_7_27335; 2026-04-10 13:49:49.819;
bind: 267000,283000,319000,
cong: 125000,121000,131000,
trans: 251000,211000,221000,
or_pos: 271000,237000,
and_pos: 176000,
parsing: 5169000,
equiv_pos2: 133000,181000,
reordering: 235000,370000,291000,
resolution: 194000,233000,292000,220000,261000,302000,247000,
forall_inst: 987000,829000,
__normalized_input: 2268000,13771000,2194000,1002000,
rare_rewrite_bool-impl-elim: 8093000,
rare_rewrite_bool-impl-false1: 5895000,5989000,
rare_rewrite_bool-and-de-morgan: 5861000,
rare_rewrite_bool-double-not-elim: 189000,

