1; Draft.Scratch_smt_check_7_2491; 2026-04-10 13:51:26.355;
bind: 564000,479000,274000,340000,283000,
cong: 202000,250000,151000,143000,141000,129000,99000,
refl: 36000,24000,
trans: 530000,577000,445000,255000,284000,256000,228000,264000,
parsing: 1719000,
aci_simp: 1137000,1144000,
and_intro: 409000,
equiv_pos2: 261000,142000,
resolution: 478000,638000,298000,403000,
miniscope_split: 366000,
__normalized_input: 3781000,4152000,3810000,3919000,
rare_rewrite_eq-symm: 368000,199000,
rare_rewrite_bool-impl-elim: 7164000,
rare_rewrite_bool-impl-false1: 12271000,12612000,
rare_rewrite_bool-and-de-morgan: 12406000,6668000,

