1; Draft.Scratch_smt_check_7_15615; 2026-04-10 13:48:04.521;
cong: 209000,112000,103000,527000,
refl: 136000,91000,
symm: 201000,
trans: 306000,
equiv1: 422000,
equiv2: 394000,
or_neg: 482000,454000,490000,
and_neg: 479000,
and_pos: 399000,483000,
implies: 491000,
not_not: 329000,
parsing: 2989000,
subproof: 2198000,
equiv_pos2: 623000,
reordering: 998000,
resolution: 351000,307000,342000,802000,1057000,709000,781000,640000,914000,373000,350000,577000,337000,
contraction: 917000,703000,706000,
forall_inst: 1335000,1422000,1257000,
implies_neg1: 736000,
implies_neg2: 690000,
__local_input: 64000,82000,
equiv_simplify: 556000,567000,
__normalized_input: 2100000,1940000,2025000,
rare_rewrite_bool-double-not-elim: 419000,

