1; Draft.Scratch_smt_check_7_4762; 2026-04-10 13:49:49.975;
and: 285000,179000,
bind: 571000,537000,591000,402000,308000,299000,307000,210000,
cong: 239000,222000,208000,257000,238000,229000,287000,240000,166000,224000,181000,369000,268000,506000,372000,338000,167000,280000,386000,389000,199000,204000,132000,124000,149000,118000,88000,81000,105000,81000,96000,125000,137000,103000,245000,124000,116000,114000,198000,158000,284000,204000,189000,90000,94000,118000,75000,72000,92000,59000,53000,48000,71000,47000,171000,168000,
refl: 25000,30000,84000,41000,61000,32000,52000,23000,18000,19000,
symm: 217000,
trans: 614000,500000,404000,423000,351000,480000,325000,376000,255000,217000,225000,190000,265000,
choice: 72000,
equiv1: 514000,267000,
equiv2: 820000,465000,
or_neg: 384000,459000,364000,457000,507000,416000,256000,263000,218000,215000,258000,206000,
or_pos: 795000,481000,
and_neg: 322000,
and_pos: 298000,235000,
implies: 782000,
parsing: 17898000,
aci_simp: 2135000,1067000,
subproof: 1374000,
equiv_pos2: 274000,430000,367000,389000,472000,639000,352000,351000,508000,242000,186000,255000,116000,217000,219000,303000,159000,186000,173000,
reordering: 589000,1246000,722000,1563000,983000,691000,372000,868000,652000,320000,
resolution: 397000,562000,355000,689000,712000,559000,716000,535000,409000,639000,597000,551000,567000,474000,515000,631000,727000,638000,812000,487000,788000,741000,387000,528000,327000,420000,321000,239000,368000,424000,339000,263000,403000,349000,354000,365000,230000,295000,339000,442000,348000,403000,
sko_forall: 2782000,1592000,
contraction: 650000,872000,968000,527000,422000,364000,
forall_inst: 2001000,1917000,1119000,1039000,
implies_neg1: 447000,
implies_neg2: 425000,
__local_input: 62000,63000,
connective_def: 471000,287000,
equiv_simplify: 1023000,680000,534000,354000,
__normalized_input: 18362000,8052000,4475000,2821000,1392000,1082000,1023000,
rare_rewrite_eq-symm: 523000,309000,167000,
rare_rewrite_bool-impl-elim: 13744000,6663000,
rare_rewrite_bool-and-de-morgan: 14542000,11811000,6501000,6503000,
rare_rewrite_bool-double-not-elim: 248000,514000,274000,140000,

