1; Draft.Scratch_smt_check_7_17554; 2026-04-10 13:49:30.671;
bind: 277000,206000,183000,174000,277000,
cong: 139000,103000,83000,91000,68000,101000,144000,
refl: 41000,45000,
trans: 168000,193000,168000,180000,
choice: 74000,
or_pos: 301000,
implies: 267000,
parsing: 8266000,
aci_simp: 1035000,1073000,
subproof: 1643000,
equiv_pos2: 178000,129000,67000,90000,89000,94000,175000,
reordering: 289000,340000,414000,
resolution: 274000,292000,299000,172000,200000,199000,259000,164000,215000,230000,214000,283000,452000,512000,351000,299000,
sko_forall: 1035000,
contraction: 407000,
forall_inst: 695000,686000,785000,717000,874000,
implies_neg1: 381000,
implies_neg2: 380000,
__local_input: 117000,
__normalized_input: 27984000,5467000,2540000,1152000,1225000,870000,1088000,
rare_rewrite_bool-impl-elim: 6292000,6575000,
rare_rewrite_bool-and-de-morgan: 5904000,6272000,

