0.sledgehammer initialize Params for sledgehammer: {abduce = SOME 0, cache_dir = NONE, compress = NONE, debug = false, expect =
0.sledgehammer initialize  "", fact_filter = NONE, fact_thresholds = (0.45, 0.85), falsify =
0.sledgehammer initialize  SOME false, induction_rules = NONE, instantiate = NONE, isar_proofs = NONE,
0.sledgehammer initialize  lam_trans = NONE, learn = true, max_facts = NONE, max_mono_iters = NONE,
0.sledgehammer initialize  max_new_mono_instances = NONE, max_proofs = 4, minimize = true, overlord =
0.sledgehammer initialize  false, preplay_provers = [], preplay_timeout = 1.000, provers =
0.sledgehammer initialize  ["cvc5_proof"], slices = 96, smt_proofs = true, spy = false, strict =
0.sledgehammer initialize  false, timeout = 30.000, try0 = true, type_enc = NONE, uncurried_aliases =
0.sledgehammer initialize  NONE, verbose = false}
0.sledgehammer goal.by         2736ms Ordered_Resolution_Prover.Ground_Resolution_Model 46:1664  some (SH 2735ms, ATP 351ms): Try this: apply blast (3 ms)
0.sledgehammer goal.by        33049ms Ordered_Resolution_Prover.Ground_Resolution_Model 47:1684  some (SH 33049ms, ATP 180ms): Try this: using "termination" wf by blast (1 ms)
0.sledgehammer goal.unfolding 18710ms Ordered_Resolution_Prover.Ground_Resolution_Model 56:1981  some (SH 18710ms, ATP 527ms): Try this: by (metis interp_def production.simps) (144 ms)
0.sledgehammer goal.by        16592ms Ordered_Resolution_Prover.Ground_Resolution_Model 56:2002  some (SH 16592ms, ATP 632ms): Try this: by (metis production.simps) (13 ms)
0.sledgehammer goal.unfolding 12024ms Ordered_Resolution_Prover.Ground_Resolution_Model 65:2316  some (SH 12024ms, ATP 1187ms): Try this: using ground_resolution_with_selection.production_unfold ground_resolution_with_selection_axioms by fastforce (347 ms)
0.sledgehammer goal.by         4461ms Ordered_Resolution_Prover.Ground_Resolution_Model 65:2344  some (SH 4461ms, ATP 443ms): Try this: by auto (41 ms)
0.sledgehammer goal.by         5516ms Ordered_Resolution_Prover.Ground_Resolution_Model 71:2504  some (SH 5515ms, ATP 379ms): Try this: by (simp add: Interp_def) (0.8 ms)
0.sledgehammer goal.unfolding 33478ms Ordered_Resolution_Prover.Ground_Resolution_Model 74:2601  timeout (SH 33478ms): Timed out
0.sledgehammer goal.by        32762ms Ordered_Resolution_Prover.Ground_Resolution_Model 74:2654  timeout (SH 32762ms): Timed out
0.sledgehammer goal.unfolding  7901ms Ordered_Resolution_Prover.Ground_Resolution_Model 77:2718  some (SH 7901ms, ATP 391ms): Try this: using production_unfold by force (2 ms)
0.sledgehammer goal.by         3204ms Ordered_Resolution_Prover.Ground_Resolution_Model 77:2746  some (SH 3204ms, ATP 381ms): Try this: by blast (0.9 ms)
0.sledgehammer goal.unfolding 58946ms Ordered_Resolution_Prover.Ground_Resolution_Model 80:2850  some (SH 58946ms, ATP 603ms): Try this: using production_unfold by fastforce (36 ms)
0.sledgehammer goal.by        15604ms Ordered_Resolution_Prover.Ground_Resolution_Model 80:2878  some (SH 15604ms, ATP 257ms): Try this: by fastforce (23 ms)
0.sledgehammer goal.unfolding  6414ms Ordered_Resolution_Prover.Ground_Resolution_Model 83:3002  some (SH 6414ms, ATP 429ms): Try this: by (metis atm_of_Max_lit ground_resolution_with_selection.productive_imp_produces_Max_literal ground_resolution_with_selection_axioms productive_not_empty) (123 ms)
0.sledgehammer goal.by         3419ms Ordered_Resolution_Prover.Ground_Resolution_Model 84:3079  some (SH 3419ms, ATP 345ms): Try this: using productive_imp_produces_Max_literal by presburger (3 ms)
0.sledgehammer goal.using      6259ms Ordered_Resolution_Prover.Ground_Resolution_Model 87:3201  some (SH 6259ms, ATP 527ms): Try this: by (metis Max_singleton producesD productive_imp_produces_Max_literal) (96 ms)
0.sledgehammer goal.by         4999ms Ordered_Resolution_Prover.Ground_Resolution_Model 87:3243  some (SH 4998ms, ATP 498ms): Try this: by blast (2 ms)
0.sledgehammer goal.using      6105ms Ordered_Resolution_Prover.Ground_Resolution_Model 90:3320  some (SH 6105ms, ATP 471ms): Try this: by (metis Max_singleton atm_of_Max_lit producesD productive_imp_produces_Max_literal) (147 ms)
0.sledgehammer goal.by         3902ms Ordered_Resolution_Prover.Ground_Resolution_Model 90:3361  some (SH 3902ms, ATP 498ms): Try this: by force (5 ms)
0.sledgehammer goal.by         8172ms Ordered_Resolution_Prover.Ground_Resolution_Model 93:3432  some (SH 8172ms, ATP 537ms): Try this: by (simp add: producesD) (4 ms)
0.sledgehammer goal.unfolding  8873ms Ordered_Resolution_Prover.Ground_Resolution_Model 96:3506  some (SH 8872ms, ATP 1652ms): Try this: using producesD productive_imp_produces_Max_literal by blast (8 ms)
0.sledgehammer goal.by         3476ms Ordered_Resolution_Prover.Ground_Resolution_Model 96:3534  some (SH 3475ms, ATP 415ms): Try this: by fastforce (0.9 ms)
0.sledgehammer goal.using     16262ms Ordered_Resolution_Prover.Ground_Resolution_Model 99:3613  some (SH 16262ms, ATP 535ms): Try this: by (metis Max_ge Max_singleton finite_atms_of producesD productive_imp_produces_Max_atom) (28 ms)
