1; Draft.Scratch_smt_check_7_14321; 2026-04-10 13:49:15.783;
bind: 212000,244000,211000,241000,
cong: 89000,90000,96000,96000,47000,53000,51000,56000,54000,92000,70000,48000,57000,63000,50000,64000,100000,72000,52000,57000,48000,50000,57000,
refl: 28000,19000,27000,19000,31000,20000,
symm: 105000,102000,100000,99000,100000,105000,
trans: 193000,129000,208000,132000,207000,137000,
implies: 209000,
parsing: 16554000,
subproof: 1189000,
equiv_pos2: 38000,42000,82000,37000,45000,105000,40000,53000,109000,
reordering: 304000,
resolution: 178000,269000,211000,244000,275000,214000,222000,324000,322000,195000,332000,215000,261000,
contraction: 312000,
forall_inst: 803000,
implies_neg1: 318000,
implies_neg2: 260000,
__local_input: 132000,
__normalized_input: 12692000,12058000,6418000,6404000,6487000,2773000,
rare_rewrite_eq-symm: 194000,190000,192000,

