1; Draft.Scratch_smt_check_7_892; 2026-04-10 13:49:16.199;
bind: 253000,289000,
cong: 124000,137000,
refl: 45000,34000,
trans: 161000,183000,160000,186000,
or_pos: 252000,
implies: 204000,
parsing: 2999000,
aci_simp: 1036000,1036000,
subproof: 1497000,
equiv_pos2: 141000,141000,
reordering: 296000,
resolution: 308000,313000,300000,392000,441000,298000,314000,
contraction: 315000,
forall_inst: 803000,
implies_neg1: 273000,
implies_neg2: 258000,
__local_input: 135000,
__normalized_input: 6398000,3355000,3221000,3382000,
rare_rewrite_bool-impl-elim: 6441000,6137000,
rare_rewrite_bool-and-de-morgan: 6184000,5763000,

