1; Draft.Scratch_smt_check_7_16253; 2026-04-10 13:51:39.895;
bind: 354000,458000,507000,477000,641000,
cong: 182000,228000,183000,171000,162000,118000,128000,95000,271000,388000,287000,327000,327000,226000,230000,97000,287000,266000,
refl: 132000,23000,134000,177000,
symm: 349000,333000,306000,
trans: 388000,411000,404000,384000,382000,320000,341000,322000,324000,341000,246000,413000,454000,631000,619000,588000,628000,578000,545000,350000,
choice: 81000,
equiv1: 439000,530000,
equiv2: 334000,
or_neg: 268000,311000,253000,455000,478000,548000,453000,458000,535000,450000,
or_pos: 311000,693000,688000,
not_not: 322000,
parsing: 7216000,
aci_simp: 1286000,1307000,1239000,1146000,2212000,
equiv_pos2: 137000,192000,275000,295000,328000,485000,46000,77000,336000,377000,119000,
reordering: 374000,378000,675000,851000,911000,665000,739000,1039000,
resolution: 314000,255000,299000,376000,304000,417000,459000,412000,418000,258000,240000,10378000,455000,434000,551000,449000,698000,920000,475000,464000,494000,711000,603000,618000,720000,547000,506000,789000,804000,
sko_forall: 2772000,
contraction: 414000,748000,737000,
forall_inst: 907000,1088000,1481000,1687000,
connective_def: 788000,
equiv_simplify: 542000,611000,
miniscope_split: 575000,
__normalized_input: 8854000,8724000,3083000,3193000,2381000,1545000,952000,997000,
rare_rewrite_eq-symm: 438000,
rare_rewrite_bool-eq-false: 13040000,
rare_rewrite_bool-impl-elim: 6334000,6430000,
rare_rewrite_bool-impl-false1: 11547000,
rare_rewrite_bool-and-de-morgan: 5961000,6205000,11732000,12023000,12345000,
rare_rewrite_bool-double-not-elim: 221000,207000,332000,389000,320000,

