1; Draft.Scratch_smt_check_7_17297; 2026-04-10 13:46:39.795;
bind: 386000,188000,391000,
cong: 180000,83000,117000,206000,
refl: 54000,31000,58000,
trans: 216000,257000,216000,327000,
or_pos: 392000,
implies: 289000,
parsing: 9636000,
aci_simp: 1886000,1833000,
subproof: 2742000,
equiv_pos2: 277000,122000,67000,284000,
reordering: 463000,
resolution: 438000,518000,568000,236000,339000,327000,707000,743000,461000,409000,
contraction: 520000,
forall_inst: 1140000,1308000,
implies_neg1: 464000,
implies_neg2: 384000,
__local_input: 205000,
__normalized_input: 5089000,4389000,1308000,796000,983000,
rare_rewrite_bool-impl-elim: 11694000,11676000,
rare_rewrite_bool-and-de-morgan: 11809000,11654000,

