1; Draft.Scratch_smt_check_7_7191; 2026-04-10 13:46:20.379;
cong: 208000,122000,117000,175000,
refl: 41000,45000,
symm: 176000,135000,
false: 17000,
trans: 169000,141000,246000,260000,
equiv2: 165000,175000,
implies: 170000,
not_not: 179000,
parsing: 1059000,
evaluate: 325000,
not_symm: 99000,
equiv_pos2: 142000,124000,136000,55000,
reordering: 248000,
resolution: 194000,235000,254000,341000,309000,244000,268000,332000,319000,
equiv_simplify: 327000,305000,
__normalized_input: 1778000,1635000,1563000,1297000,1350000,
rare_rewrite_eq-symm: 247000,228000,187000,

