1; Draft.Scratch_smt_check_7_20200; 2026-04-10 13:46:20.791;
and: 231000,223000,
bind: 206000,250000,241000,257000,294000,250000,137000,200000,155000,145000,156000,169000,248000,268000,259000,436000,
cong: 76000,87000,70000,82000,220000,107000,101000,74000,88000,139000,111000,111000,158000,61000,145000,118000,98000,147000,62000,188000,140000,57000,56000,59000,80000,59000,56000,82000,73000,93000,98000,154000,97000,230000,110000,156000,155000,180000,65000,105000,108000,82000,
refl: 27000,25000,38000,36000,28000,74000,68000,26000,38000,
symm: 76000,142000,209000,
false: 13000,
trans: 119000,184000,117000,149000,200000,129000,142000,153000,147000,154000,84000,318000,129000,146000,152000,148000,149000,86000,98000,145000,154000,125000,140000,222000,249000,
equiv1: 126000,
equiv2: 121000,77000,245000,
or_pos: 317000,400000,441000,
implies: 157000,166000,125000,
not_not: 298000,
parsing: 35993000,
aci_simp: 991000,958000,986000,961000,
evaluate: 360000,
subproof: 1092000,1664000,2034000,
equiv_pos2: 144000,149000,242000,166000,173000,230000,41000,80000,111000,97000,188000,289000,270000,179000,63000,
reordering: 457000,465000,647000,
resolution: 101000,142000,144000,148000,216000,269000,350000,323000,185000,261000,211000,263000,288000,272000,348000,379000,249000,286000,143000,140000,189000,142000,203000,186000,211000,241000,156000,215000,252000,373000,12719000,274000,360000,315000,303000,374000,444000,432000,404000,395000,
contraction: 318000,277000,226000,
forall_inst: 747000,750000,681000,713000,1288000,1422000,1500000,
or_simplify: 447000,
implies_neg1: 257000,227000,264000,
implies_neg2: 272000,214000,233000,
__local_input: 61000,63000,113000,
equiv_simplify: 195000,157000,171000,418000,
__normalized_input: 8593000,8278000,6743000,6442000,7956000,8861000,7019000,3572000,1291000,888000,
rare_rewrite_eq-refl: 59000,
rare_rewrite_eq-symm: 90000,74000,79000,83000,75000,87000,88000,99000,231000,165000,165000,
rare_rewrite_bool-eq-true: 6157000,
rare_rewrite_bool-impl-elim: 6871000,11872000,
rare_rewrite_bool-impl-false1: 8042000,6009000,6355000,5958000,6094000,6541000,
rare_rewrite_bool-and-de-morgan: 5837000,6306000,6078000,6636000,
rare_rewrite_bool-double-not-elim: 79000,87000,87000,86000,87000,

