1; Draft.Scratch_smt_check_7_14725; 2026-04-10 13:44:09.475;
and: 308000,190000,149000,
bind: 800000,784000,403000,209000,
cong: 315000,216000,386000,183000,115000,214000,212000,182000,173000,202000,160000,173000,
refl: 113000,98000,24000,47000,166000,133000,79000,52000,
symm: 193000,
false: 22000,
trans: 214000,588000,438000,454000,342000,269000,424000,399000,210000,
equiv2: 484000,236000,
or_pos: 602000,
not_not: 331000,
parsing: 28177000,
aci_simp: 2229000,
evaluate: 392000,
not_symm: 124000,
equiv_pos2: 680000,348000,192000,85000,
reordering: 1133000,
resolution: 226000,244000,363000,494000,646000,604000,464000,398000,538000,351000,321000,372000,365000,
forall_inst: 1934000,1346000,1614000,5817000,
equiv_simplify: 637000,439000,
__normalized_input: 2411000,2508000,1363000,5096000,1242000,1447000,
miniscope_distribute: 508000,
rare_rewrite_eq-symm: 193000,185000,240000,
rare_rewrite_bool-impl-elim: 25521000,
rare_rewrite_bool-and-de-morgan: 16161000,
rare_rewrite_bool-double-not-elim: 228000,

