1; Draft.Scratch_smt_check_7_2737; 2026-04-10 13:44:26.777;
bind: 332000,556000,477000,
cong: 84000,309000,144000,245000,137000,457000,271000,199000,178000,
refl: 23000,80000,80000,55000,57000,
symm: 103000,
false: 11000,
trans: 95000,183000,228000,228000,347000,356000,240000,249000,269000,188000,
equiv2: 75000,127000,
or_pos: 501000,4372000,
implies: 419000,
not_not: 157000,
parsing: 25221000,
aci_simp: 11733000,2002000,1808000,
evaluate: 319000,
subproof: 3134000,
equiv_pos2: 439000,431000,648000,428000,61000,
reordering: 473000,600000,
resolution: 92000,134000,134000,216000,323000,315000,537000,672000,739000,414000,510000,341000,389000,464000,309000,316000,
contraction: 692000,
forall_inst: 1377000,1404000,
implies_neg1: 577000,
implies_neg2: 517000,
__local_input: 129000,
equiv_simplify: 158000,261000,
__normalized_input: 1501000,5131000,789000,740000,920000,
rare_rewrite_eq-symm: 205000,106000,
rare_rewrite_bool-impl-elim: 11620000,11456000,23454000,
rare_rewrite_bool-and-de-morgan: 11298000,11121000,21814000,
rare_rewrite_bool-double-not-elim: 151000,149000,156000,

