1; Draft.Scratch_smt_check_7_17991; 2026-04-10 13:49:44.932;
bind: 603000,633000,825000,828000,481000,
cong: 371000,551000,317000,253000,274000,494000,434000,543000,70000,434000,777000,292000,97000,130000,98000,134000,78000,75000,56000,54000,64000,67000,97000,103000,102000,411000,636000,335000,288000,249000,127000,113000,187000,353000,124000,109000,100000,85000,
refl: 43000,296000,225000,55000,61000,39000,45000,31000,61000,27000,33000,
symm: 195000,
trans: 709000,732000,537000,554000,488000,490000,929000,824000,839000,851000,224000,791000,766000,765000,915000,771000,728000,687000,663000,561000,269000,211000,363000,367000,376000,322000,292000,250000,
not_or: 842000,
or_neg: 477000,563000,449000,
not_and: 462000,
parsing: 7182000,
aci_simp: 2458000,2230000,2917000,2458000,2700000,2944000,2451000,1137000,1117000,1075000,1074000,1024000,
evaluate: 364000,
equiv_pos2: 496000,476000,305000,
reordering: 672000,
resolution: 287000,509000,958000,1086000,756000,791000,
contraction: 918000,
connective_def: 755000,
miniscope_split: 1342000,
__normalized_input: 9286000,2763000,809000,817000,758000,763000,1136000,
rare_rewrite_eq-refl: 200000,211000,
rare_rewrite_eq-symm: 123000,
rare_rewrite_bool-impl-false1: 6788000,7020000,
rare_rewrite_bool-and-de-morgan: 11820000,12008000,5910000,5967000,6163000,6264000,6394000,6912000,
rare_rewrite_bool-double-not-elim: 239000,554000,242000,

