1; Draft.Scratch_smt_check_7_11407; 2026-04-10 13:52:12.088;
and: 191000,194000,381000,
bind: 233000,355000,238000,234000,195000,385000,348000,340000,442000,485000,406000,845000,682000,697000,682000,395000,238000,
cong: 168000,63000,68000,136000,100000,133000,129000,132000,123000,190000,104000,118000,83000,104000,164000,81000,101000,86000,68000,1093000,167000,72000,186000,82000,770000,456000,288000,257000,240000,386000,79000,133000,
refl: 36000,36000,55000,37000,159000,165000,58000,477000,56000,44000,153000,172000,156000,151000,169000,
symm: 144000,132000,432000,570000,
trans: 251000,270000,182000,178000,172000,184000,164000,340000,967000,988000,919000,931000,1073000,439000,335000,249000,451000,405000,383000,360000,452000,1126000,754000,675000,647000,510000,457000,451000,
equiv1: 163000,179000,
equiv2: 108000,118000,
or_neg: 171000,
or_pos: 200000,213000,212000,416000,511000,199000,383000,305000,231000,
implies: 169000,209000,206000,
parsing: 13407000,
aci_simp: 1084000,1712000,1925000,2340000,2369000,2261000,1893000,
evaluate: 378000,
onepoint: 1830000,
qnt_join: 485000,
subproof: 1030000,1099000,1345000,
equiv_pos1: 72000,
equiv_pos2: 127000,221000,158000,135000,139000,234000,187000,162000,833000,94000,123000,
reordering: 249000,239000,308000,252000,478000,528000,220000,238000,434000,274000,
resolution: 239000,259000,239000,252000,335000,317000,193000,176000,197000,238000,192000,168000,196000,243000,200000,213000,269000,301000,314000,263000,197000,302000,215000,264000,312000,365000,342000,239000,277000,219000,228000,243000,416000,466000,455000,410000,454000,856000,410000,446000,526000,359000,359000,240000,287000,
contraction: 234000,313000,317000,
forall_inst: 852000,701000,708000,672000,724000,1367000,1266000,1349000,685000,958000,
implies_neg1: 220000,271000,265000,
implies_neg2: 211000,272000,258000,
__local_input: 141000,149000,142000,
qnt_rm_unused: 655000,1540000,
connective_def: 227000,248000,
equiv_simplify: 169000,236000,190000,245000,
__normalized_input: 6713000,5634000,3650000,2431000,1073000,709000,549000,483000,614000,
miniscope_distribute: 2512000,
rare_rewrite_eq-refl: 237000,
rare_rewrite_eq-symm: 103000,116000,104000,131000,109000,303000,231000,244000,258000,245000,242000,241000,
rare_rewrite_or-not-refl: 17058000,
rare_rewrite_bool-impl-elim: 5581000,5917000,18694000,10702000,11101000,8311000,5738000,
rare_rewrite_bool-and-de-morgan: 5560000,
rare_rewrite_bool-or-and-distrib: 10906000,11021000,11090000,11400000,
rare_rewrite_bool-double-not-elim: 116000,

