1; Draft.Scratch_smt_check_7_3652; 2026-04-10 13:52:12.940;
and: 147000,
bind: 209000,230000,215000,299000,280000,427000,429000,408000,425000,428000,438000,235000,182000,792000,594000,749000,766000,601000,600000,446000,441000,446000,435000,
cong: 149000,150000,208000,92000,49000,157000,126000,56000,367000,72000,206000,212000,131000,114000,106000,166000,146000,82000,72000,358000,85000,208000,210000,126000,111000,104000,159000,144000,79000,70000,360000,379000,73000,107000,564000,126000,284000,347000,106000,111000,96000,462000,443000,323000,253000,243000,172000,167000,243000,128000,223000,81000,121000,185000,110000,116000,186000,189000,177000,89000,135000,178000,185000,325000,166000,114000,97000,165000,145000,65000,
refl: 54000,277000,84000,87000,35000,25000,20000,43000,26000,32000,29000,27000,18000,50000,26000,34000,30000,23000,21000,26000,30000,36000,38000,30000,64000,62000,63000,48000,54000,44000,46000,56000,30000,58000,31000,
symm: 205000,238000,118000,109000,252000,228000,243000,257000,325000,
trans: 135000,250000,269000,279000,202000,154000,119000,208000,186000,192000,248000,295000,200000,383000,379000,308000,329000,242000,260000,262000,230000,194000,164000,238000,206000,372000,358000,299000,322000,243000,256000,250000,215000,196000,164000,249000,210000,170000,196000,443000,765000,723000,751000,554000,473000,497000,396000,467000,433000,377000,408000,464000,299000,433000,494000,416000,432000,425000,426000,
choice: 34000,67000,
equiv1: 134000,117000,147000,131000,
equiv2: 127000,119000,316000,129000,
or_neg: 201000,227000,274000,219000,232000,285000,219000,218000,225000,220000,277000,207000,
or_pos: 468000,396000,223000,451000,
implies: 353000,445000,
not_not: 159000,302000,
parsing: 20427000,
aci_simp: 899000,955000,1578000,1071000,913000,1009000,953000,939000,1551000,1058000,907000,958000,926000,928000,2967000,2549000,1912000,1832000,1857000,
evaluate: 215000,
onepoint: 945000,
qnt_join: 243000,
subproof: 3659000,2640000,
equiv_pos2: 155000,159000,207000,272000,279000,474000,143000,71000,670000,239000,208000,386000,182000,153000,
reordering: 352000,353000,310000,575000,590000,345000,232000,654000,
resolution: 634000,237000,248000,388000,1454000,257000,413000,1475000,303000,176000,176000,185000,321000,719000,407000,453000,601000,965000,712000,376000,190000,173000,266000,213000,172000,175000,204000,225000,228000,219000,276000,191000,213000,365000,381000,380000,390000,383000,363000,442000,581000,515000,565000,659000,727000,506000,525000,442000,386000,1513000,
sko_forall: 2248000,
contraction: 370000,381000,512000,582000,367000,
forall_inst: 687000,918000,703000,637000,719000,1770000,1535000,
implies_neg1: 490000,516000,
implies_neg2: 610000,549000,
__local_input: 208000,247000,
qnt_rm_unused: 324000,1267000,
connective_def: 516000,537000,
equiv_simplify: 195000,203000,184000,190000,417000,288000,197000,207000,
__normalized_input: 6408000,4236000,3303000,1233000,843000,784000,769000,881000,554000,532000,717000,
miniscope_distribute: 493000,
rare_rewrite_eq-refl: 110000,
rare_rewrite_eq-symm: 106000,119000,106000,129000,114000,119000,293000,254000,247000,305000,
rare_rewrite_or-not-refl: 5967000,
rare_rewrite_bool-impl-elim: 6457000,6566000,6065000,5676000,12059000,11370000,
rare_rewrite_bool-and-de-morgan: 5729000,5863000,5940000,6213000,5407000,5497000,5572000,5727000,13377000,10878000,10990000,11208000,10930000,11034000,
rare_rewrite_bool-or-and-distrib: 6278000,
rare_rewrite_bool-double-not-elim: 143000,130000,125000,122000,275000,407000,420000,129000,
rare_rewrite_bool-implies-de-morgan: 6160000,

