1; Draft.Scratch_smt_check_7_23718; 2026-04-10 13:50:45.615;
and: 184000,205000,156000,298000,
bind: 516000,490000,521000,511000,330000,388000,388000,
cong: 281000,229000,142000,147000,275000,281000,204000,138000,143000,275000,469000,369000,145000,130000,122000,114000,195000,
refl: 31000,29000,
symm: 249000,193000,184000,
trans: 224000,468000,417000,432000,421000,414000,280000,279000,507000,419000,437000,413000,403000,299000,282000,194000,204000,368000,272000,259000,222000,237000,
or_pos: 266000,268000,361000,701000,911000,
and_pos: 242000,238000,216000,410000,
implies: 460000,
parsing: 20209000,
aci_simp: 1574000,1331000,1504000,1528000,1306000,1485000,2262000,
subproof: 3094000,
equiv_pos2: 311000,317000,560000,154000,458000,
reordering: 324000,311000,280000,332000,469000,293000,910000,539000,1470000,
resolution: 465000,623000,434000,537000,705000,993000,626000,463000,233000,297000,228000,292000,332000,226000,240000,204000,275000,338000,218000,266000,327000,385000,
contraction: 676000,
forall_inst: 1078000,956000,967000,1242000,3093000,
implies_neg1: 644000,
implies_neg2: 638000,
__local_input: 323000,
__normalized_input: 28131000,26801000,23400000,1803000,1574000,1120000,
rare_rewrite_eq-symm: 139000,147000,137000,12759000,365000,
rare_rewrite_bool-impl-elim: 7355000,7194000,7052000,
rare_rewrite_bool-impl-false1: 12162000,12640000,
rare_rewrite_bool-and-de-morgan: 6422000,6296000,6368000,7295000,6452000,6891000,6431000,6823000,6771000,
rare_rewrite_bool-double-not-elim: 250000,

