1; Draft.Scratch_smt_check_7_1807; 2026-04-10 13:50:47.097;
and: 155000,
bind: 183000,365000,427000,355000,277000,430000,232000,246000,285000,212000,324000,347000,348000,290000,342000,402000,241000,261000,388000,205000,
cong: 287000,278000,313000,178000,82000,60000,38000,70000,61000,41000,191000,87000,87000,55000,97000,92000,85000,90000,221000,178000,82000,83000,120000,87000,92000,101000,122000,107000,211000,81000,60000,163000,67000,86000,
refl: 92000,91000,56000,
symm: 111000,130000,201000,115000,282000,350000,202000,151000,
trans: 592000,361000,359000,653000,313000,298000,349000,389000,
or_pos: 396000,289000,251000,223000,381000,247000,273000,454000,251000,254000,270000,237000,400000,318000,260000,279000,234000,248000,432000,465000,
and_neg: 917000,
and_pos: 751000,798000,815000,796000,719000,717000,739000,842000,727000,
implies: 341000,1018000,338000,
parsing: 14620000,
aci_simp: 1672000,1262000,
subproof: 2430000,
equiv_pos2: 329000,90000,170000,173000,118000,105000,225000,105000,104000,129000,95000,108000,109000,170000,120000,172000,217000,109000,383000,98000,91000,
reordering: 382000,390000,283000,538000,568000,267000,260000,588000,238000,275000,437000,1580000,8063000,277000,248000,612000,372000,282000,446000,407000,262000,257000,290000,670000,
resolution: 517000,565000,215000,275000,281000,292000,387000,256000,316000,400000,317000,388000,213000,256000,351000,236000,272000,327000,353000,393000,392000,213000,248000,284000,217000,254000,299000,293000,221000,252000,296000,211000,252000,310000,1748000,1188000,1197000,5051000,370000,394000,215000,283000,406000,275000,254000,343000,263000,298000,387000,280000,228000,259000,346000,260000,297000,345000,365000,386000,431000,223000,269000,291000,225000,251000,309000,219000,259000,373000,234000,328000,
contraction: 1410000,2183000,
forall_inst: 778000,1082000,1495000,1046000,1038000,980000,985000,769000,762000,793000,835000,1036000,865000,832000,901000,874000,953000,1069000,778000,1140000,859000,1051000,
implies_neg1: 1621000,
implies_neg2: 1234000,
__local_input: 86000,102000,180000,105000,55000,50000,47000,279000,132000,
__normalized_input: 3165000,2891000,2610000,2830000,1956000,1915000,2048000,1278000,1299000,811000,887000,663000,663000,624000,760000,569000,1109000,
rare_rewrite_eq-symm: 578000,157000,193000,
rare_rewrite_bool-impl-elim: 7877000,7665000,7710000,8884000,7077000,6440000,6844000,6919000,6892000,8695000,8274000,7365000,7169000,6979000,7116000,6762000,7892000,8053000,
rare_rewrite_bool-and-de-morgan: 6936000,6732000,

