rule,count,total,mean,min,first_quartile,median,third_quartile,max
parsing,2136,50495145500,23640049.391385768,75000,2507000,11504500,28460000,141328750
rare_rewrite_bool-impl-elim,4129,43036989800,10423102.397674982,5690000,6343000,10968000,12051000,25435199.999999944
rare_rewrite_bool-and-de-morgan,4534,39918190050,8804188.365681518,5479000,6058000,6741500,11587000,22198325.000000022
__normalized_input,10406,23978540625,2304299.5026907553,701000,972000,1326000,2759750,9497125
resolution,57789,22402961499.999996,387668.26731730945,145000,228000,312000,440000,1470299.9999999956
poly_simp,4215,12247319900,2905651.221826809,1466700,1759000,2432000,3362000,8770949.999999998
forall_inst,9225,10119508000,1096965.6368563685,622000,741000,1069000,1348000,2417000
subproof,5004,9451850850,1888859.082733813,998000,1136000,1779500,2228250,5436975.000000005
rare_rewrite_arith-elim-lt,988,8954006875,9062759.994939271,5473025,6053500,6881500,11437000,23975249.99999998
aci_simp,5960,8816724900,1479316.2583892618,899000,1030000,1238000,1905000,2878099.9999999986
trans,30621,8728477000,285048.7247313935,89000,165000,236000,344000,891000
cong,40670,7501589000,184450.18441111385,50000,97000,145000,222000,639000
rare_rewrite_bool-impl-false1,725,6434805500,8875593.793103449,5359800,6027000,6810000,11631000,23022699.999999993
rare_rewrite_arith-elim-leq,715,6329332400,8852213.146853147,5498400,5959000,6731000,11508500,22530399.999999996
reordering,9505,5771608400,607218.1378221988,159000,272000,403000,638000,3557799.9999999977
bind,14336,4886167000,340831.96149553574,133000,220000,298000,412000,886000
contraction,8760,4821110800,550355.1141552512,156000,270000,396000,619000,2504199.999999997
rare_rewrite_or-not-refl,553,4722046400,8538962.748643762,5788800,6295000,6843000,11610000,17285799.999999948
rare_rewrite_bool-eq-false,465,4718348600,10146986.23655914,5599000,6230000,9407000,11712000,24966799.999999996
and_pos,6905,4411072999.999946,638823.0267921718,84000,173000,289000,562000,5608999.999999685
equiv_pos2,17148,4352264425,253805.9496734313,43000,119000,196000,317000,952325.0000000007
poly_simp_rel,2160,3050114100,1412089.861111111,905000,1011000,1151500,1848250,2722150.000000004
implies_neg1,5007,2573156400,513911.80347513483,125000,245000,363000,576500,2496399.9999999977
or_neg,6913,2299033600,332566.7004194995,122000,175000,243000,351000,1700199.9999999998
la_generic,185,2219417000,11996848.64864865,4830800,7483000,9872000,15191000,29751400.000000004
implies_neg2,5008,2165449899.9999995,432398.1429712459,113000,221000,328000,510000,1708149.999999996
rare_rewrite_bool-eq-true,172,1744655875,10143348.110465117,5554350,6176000,10466000,11832500,24830024.999999993
rare_rewrite_ite-not-cond,221,1704184000,7711239.8190045245,5419000,5920000,6471000,7795000,15456500
hole,2,1619841000,809920500,777766325,793843412.5,809920500,825997587.5,842074675
sko_forall,764,1616652500,2116037.3036649213,856075,1134250,1747500,2315000,7588749.9999999935
implies,4908,1549723800,315754.6454767726,101000,175000,247000,370000,1173599.9999999986
rare_rewrite_bool-or-de-morgan,194,1469709625,7575822.80927835,5486650,5911000,6268000,7410500,13944474.999999998
rare_rewrite_ite-eq,151,1398255000,9259966.887417218,5796250,6501000,7855000,11898500,18553000
rare_rewrite_eq-symm,8187,1260663000,153983.51044338587,65000,95000,129000,185000,447000
refl,16100,1207344000,74990.3105590062,18000,30000,45000,80000,430000
or_pos,3282,1162933625,354336.8753808653,168000,237250,327000,428000,778874.9999999995
symm,5929,1153670200,194580.90740428402,59000,103000,152000,241000,633800.0000000002
qnt_rm_unused,811,1092032000,1346525.277435265,177750,424500,923000,1761000,6328250
equiv_simplify,3216,1087834000,338256.8407960199,136000,186000,291000,400000,1109000
onepoint,553,1082811000,1958066.9077757685,879400,1148000,1489000,2053000,7996599.999999995
rare_rewrite_arith-elim-gt,105,871708999.9999999,8301990.476190475,5583000,6127000,6786000,11296000,14610999.99999998
rare_rewrite_bool-double-not-elim,3850,701051000,182091.16883116882,69000,101000,149000,218000,568000
equiv1,2198,636337750,289507.6205641492,70925,123000,206000,346000,1223524.9999999988
__local_input,9477,570807000,60230.769230769234,14000,29000,48000,77000,192000
evaluate,2098,569291425,271349.58293612965,137000,199000,262000,314750,559725.0000000001
connective_def,1007,422773900,419835.05461767624,177150,270000,365000,508000,1107500.0000000002
equiv2,1934,414997450,214579.86039296794,65000,115000,171500,261000,767049.9999999998
rare_rewrite_bool-implies-de-morgan,47,389687900,8291231.914893617,5420350,5673500,6388000,11466000,15551600.000000004
miniscope_split,483,379946600,786638.9233954451,247000,392000,538000,859500,3117199.999999998
rare_rewrite_bool-or-and-distrib,39,360181450,9235421.794871794,5729300,6414500,7374000,12049000,13394149.999999978
rare_rewrite_arith-geq-tighten,31,332874750,10737895.161290323,5428750,5990000,10356000,11914000,22725000
and_intro,1080,301594700,279254.35185185185,77000,132750,199500,314500,1210099.9999999995
implies_simplify,534,295156200,552726.9662921348,165325,263000,400000,632750,2159474.999999997
and_neg,705,285611800,405123.1205673759,137600,203000,309000,454000,1698999.9999999977
qnt_join,622,248025000,398754.0192926045,189525,263250,341500,478750,925475
rare_rewrite_bool-not-eq-elim1,29,233363400,8047013.793103448,5296400,5415000,6455000,11932000,15921000.000000007
rare_rewrite_eq-refl,1247,190573200,152825.34081796312,59000,80000,117000,170000,596099.9999999994
not_not,1004,190063200,189305.97609561752,92000,125000,178000,228000,423699.9999999998
rare_rewrite_arith-leq-norm,21,188795000,8990238.095238095,5404000,5774000,6806000,11224000,19536000
not_and,504,172911125,343077.62896825396,135000,203000,267000,386500,1105625.0000000002
and,745,126533600,169843.75838926175,67000,108000,137000,196000,458400
rare_rewrite_bool-eq-nrefl,14,106751950,7625139.285714285,5294200,5507000,6692000,9928750,11937749.999999998
la_mult_neg,273,97481800,357076.1904761905,202000,267000,324000,427000,729400
equiv_pos1,844,93625800,110931.04265402844,34075,60000,88000,143000,331324.9999999996
rare_rewrite_bool-or-taut2,9,87336000,9704000,5820800,6167000,10954000,11764000,17438200
comp_simplify,44,87140299.99999999,1980461.3636363633,1235950,1397500,1477000,2658000,5898699.999999992
rare_rewrite_bool-not-eq-elim2,10,78790725,7879072.5,5627050,5688750,6272000,10432250,12001675
rare_rewrite_arith-geq-norm1-real,7,62218300,8888328.57142857,6148500,6364000,8058000,11515000,12253800
miniscope_distribute,86,55384000,644000,283875,346750,535500,851000,1474125
rare_rewrite_bool-impl-true2,5,48675500,9735100,6336600,6765000,11673000,11887000,12013900
rare_rewrite_ite-else-true,2,48123000,24061500,8420225,16240862.5,24061500,31882137.5,39702775
choice,762,42204000,55385.82677165354,24000,35000,50000,74000,102000
rare_rewrite_ite-then-false,4,40729225,10182306.25,6535750,9900437.5,11256000,11537868.75,11681475
rare_rewrite_ite-true-cond,3,36452550,12150850,6117400,8790700,11464000,15167575,18871150
rare_rewrite_ite-then-true,4,35827975,8956993.75,6026575,6041143.75,8793500,11709350,12214400
rare_rewrite_bool-not-ite-elim,5,35329700,7065940,5679300,5682000,6500000,6612000,10856400
not_or,89,33731200,379002.2471910112,145200,281000,321000,506000,745199.9999999998
ite2,120,27983650,233197.08333333334,79775,117000,196000,273250,792774.9999999998
or_simplify,36,23035000,639861.1111111111,447625,463750,503000,818750,939375
rare_rewrite_ite-else-false,2,20795000,10397500,9088875,9743187.5,10397500,11051812.5,11706125
not_symm,173,20717000,119751.44508670521,55000,79000,107000,147000,236399.99999999997
rare_rewrite_eq-ite-lift,3,20544050,6848016.666666667,6776450,6799725,6823000,6883800,6944600
ite1,84,19479975,231904.4642857143,76375,115500,189000,266750,706950
implies_pos,20,15435675,771783.75,81225,214000,293000,493000,5157449.999999999
not_equiv1,79,14891300,188497.46835443037,88800,126500,168000,211500,519849.99999999965
not_equiv2,81,14749000,182086.41975308643,88000,126000,159000,211000,396000
and_simplify,22,12978025,589910.2272727273,432550,456750,474000,826500,921474.9999999999
rare_rewrite_arith-geq-norm1-int,2,12166000,6083000,5746700,5914850,6083000,6251150,6419300
rare_rewrite_bool-impl-false2,1,11196000,11196000,11196000,11196000,11196000,11196000,11196000
la_mult_pos,21,9457500,450357.14285714284,221500,266000,372000,591000,985000
true,151,8650000,57284.76821192053,37000,44000,51000,70000,94500
false,260,4720675,18156.44230769231,11475,16000,18000,20000,32050.00000000001
miniscope_ite,1,4548000,4548000,4548000,4548000,4548000,4548000,4548000
la_disequality,33,3836800,116266.66666666667,49400,70000,92000,127000,339399.9999999999
not_implies2,15,3030100,202006.66666666666,89850,126000,197000,232500,443250
not_implies1,18,2895475,160859.72222222222,73225,96250,115000,206750,464249.9999999997
equiv_neg2,56,2740500,48937.5,29000,34750,43500,58000,92250
equiv_neg1,51,2537500,49754.901960784315,30250,35000,42000,61000,89000
ite_pos2,7,2333000,333285.71428571426,188150,329500,365000,372000,376850
ite_pos1,6,1959250,326541.6666666667,188250,322500,353500,371750,374000
ite_neg2,1,475000,475000,475000,475000,475000,475000,475000
not_ite2,1,280000,280000,280000,280000,280000,280000,280000
