rule,count,total,mean,min,first_quartile,median,third_quartile,max
parsing,2136,58764286000,27511369.850187264,48000,2507000,11504500,28460000,1746427000
rare_rewrite_bool-impl-elim,4129,43510577000,10537800.193751514,5338000,6343000,10968000,12051000,63756000
rare_rewrite_bool-and-de-morgan,4534,40736487000,8984668.504631672,5240000,6058000,6741500,11587000,234801000
resolution,57789,30715770000,531515.8594196127,89000,228000,312000,440000,1826615000
__normalized_input,10406,25331647000,2434330.866807611,369000,972000,1326000,2759750,238527000
contraction,8760,16605378000,1895591.095890411,97000,270000,396000,619000,9791973000
reordering,9505,13603497000,1431193.7927406628,99000,272000,403000,638000,1305135000
poly_simp,4215,12809808000,3039100.355871886,1363000,1759000,2432000,3362000,37938000
forall_inst,9225,10958514000,1187914.7967479674,540000,741000,1069000,1348000,40662000
subproof,5004,10095670000,2017519.9840127898,917000,1136000,1779500,2228250,200213000
aci_simp,5960,9670363000,1622544.1275167784,802000,1030000,1238000,1905000,235909000
trans,30621,9361463000,305720.3553117142,49000,165000,236000,344000,36633000
rare_rewrite_arith-elim-lt,988,9121360000,9232145.748987854,5318000,6053500,6881500,11437000,86514000
cong,40670,8443310000,207605.3602163757,21000,97000,145000,222000,66350000
rare_rewrite_bool-impl-false1,725,6573173000,9066445.51724138,5224000,6027000,6810000,11631000,45180000
rare_rewrite_arith-elim-leq,715,6383072000,8927373.426573427,5281000,5959000,6731000,11508500,31991000
and_pos,6905,5844511000,846417.2338884866,56000,173000,289000,562000,313895000
bind,14336,5203577000,362972.72600446426,93000,220000,298000,412000,24313000
equiv_pos2,17148,4819762000,281068.462794495,24000,119000,196000,317000,24690000
rare_rewrite_or-not-refl,553,4812469000,8702475.587703437,5460000,6295000,6843000,11610000,28667000
rare_rewrite_bool-eq-false,465,4753798000,10223221.505376345,5287000,6230000,9407000,11712000,41778000
poly_simp_rel,2160,3255961000,1507389.351851852,852000,1011000,1151500,1848250,64193000
implies_neg1,5007,3109790000,621088.4761334133,75000,245000,363000,576500,38771000
or_neg,6913,2729314000,394808.9107478663,93000,175000,243000,351000,26771000
implies_neg2,5008,2455874000,490390.1757188498,71000,221000,328000,510000,26389000
la_generic,185,2264912000,12242767.567567568,3791000,7483000,9872000,15191000,64463000
implies,4908,1795278000,365786.0635696821,62000,175000,247000,370000,18744000
rare_rewrite_bool-eq-true,172,1751590000,10183662.790697675,5443000,6176000,10466000,11832500,27481000
rare_rewrite_ite-not-cond,221,1744465000,7893506.787330316,5291000,5920000,6471000,7795000,32504000
sko_forall,764,1723141000,2255420.157068063,782000,1134250,1747500,2315000,25334000
hole,2,1619841000,809920500,776074000,792997250,809920500,826843750,843767000
rare_rewrite_bool-or-de-morgan,194,1483541000,7647118.556701031,5442000,5911000,6268000,7410500,19518000
refl,16100,1421334000,88281.6149068323,12000,30000,45000,80000,26915000
rare_rewrite_ite-eq,151,1411748000,9349324.503311258,5416000,6501000,7855000,11898500,27854000
qnt_rm_unused,811,1382076000,1704162.762022195,115000,424500,923000,1761000,82448000
rare_rewrite_eq-symm,8187,1379444000,168491.99951142055,48000,95000,129000,185000,16385000
symm,5929,1278392000,215616.79878562994,43000,103000,152000,241000,18279000
or_pos,3282,1263781000,385064.29006703227,142000,237250,327000,428000,14633000
onepoint,553,1157424000,2092990.9584086798,742000,1148000,1489000,2053000,36079000
equiv_simplify,3216,1154742000,359061.5671641791,114000,186000,291000,400000,12480000
rare_rewrite_arith-elim-gt,105,895246000,8526152.38095238,5373000,6127000,6786000,11296000,29290000
rare_rewrite_bool-double-not-elim,3850,756055000,196377.9220779221,55000,101000,149000,218000,5387000
equiv1,2198,683194000,310825.2957233849,52000,123000,206000,346000,6613000
__local_input,9477,642549000,67800.88635644192,10000,29000,48000,77000,16046000
evaluate,2098,585088000,278878.9323164919,118000,199000,262000,314750,4051000
equiv2,1934,447208000,231234.74663908998,51000,115000,171500,261000,14587000
connective_def,1007,443266000,440184.7070506455,155000,270000,365000,508000,4554000
miniscope_split,483,417274000,863921.3250517598,218000,392000,538000,859500,22781000
rare_rewrite_bool-implies-de-morgan,47,393952000,8381957.44680851,5399000,5673500,6388000,11466000,19503000
rare_rewrite_bool-or-and-distrib,39,367771000,9430025.641025642,5564000,6414500,7374000,12049000,21149000
and_intro,1080,360676000,333959.25925925927,56000,132750,199500,314500,15717000
rare_rewrite_arith-geq-tighten,31,334632000,10794580.64516129,5293000,5990000,10356000,11914000,24618000
and_neg,705,327355000,464333.3333333333,113000,203000,309000,454000,21358000
implies_simplify,534,316195000,592125.468164794,134000,263000,400000,632750,7996000
qnt_join,622,270395000,434718.6495176849,162000,263250,341500,478750,10786000
rare_rewrite_bool-not-eq-elim1,29,240390000,8289310.344827586,5274000,5415000,6455000,11932000,22970000
rare_rewrite_eq-refl,1247,222840000,178700.882117081,48000,80000,117000,170000,10181000
not_not,1004,206061000,205240.03984063744,72000,125000,178000,228000,11578000
rare_rewrite_arith-leq-norm,21,195325000,9301190.476190476,5378000,5774000,6806000,11224000,26092000
not_and,504,194162000,385242.0634920635,112000,203000,267000,386500,8809000
and,745,147978000,198628.1879194631,53000,108000,137000,196000,15250000
equiv_pos1,844,116023000,137468.009478673,30000,60000,88000,143000,14849000
rare_rewrite_bool-eq-nrefl,14,107062000,7647285.714285715,5289000,5507000,6692000,9928750,12253000
la_mult_neg,273,99330000,363846.1538461539,148000,267000,324000,427000,1943000
comp_simplify,44,90809000,2063840.9090909092,1226000,1397500,1477000,2658000,9357000
rare_rewrite_bool-or-taut2,9,88704000,9856000,5810000,6167000,10954000,11764000,18817000
rare_rewrite_bool-not-eq-elim2,10,78993000,7899300,5614000,5688750,6272000,10432250,12217000
rare_rewrite_arith-geq-norm1-real,7,62254000,8893428.57142857,6117000,6364000,8058000,11515000,12321000
