1; Draft.Scratch_smt_check_7_23791; 2026-04-10 13:49:39.604;
bind: 189000,161000,221000,173000,
cong: 96000,87000,75000,44000,39000,80000,73000,67000,53000,126000,77000,60000,
refl: 17000,20000,
trans: 194000,163000,177000,
implies: 183000,
parsing: 2341000,
subproof: 1149000,
equiv_pos2: 79000,84000,92000,
reordering: 271000,
resolution: 178000,261000,240000,324000,319000,203000,280000,
contraction: 259000,
forall_inst: 884000,
implies_neg1: 248000,
implies_neg2: 344000,
__local_input: 124000,
__normalized_input: 1807000,1221000,716000,
rare_rewrite_eq-symm: 166000,137000,142000,

