1; Draft.Scratch_smt_check_7_24030; 2026-04-10 13:49:39.660;
bind: 269000,274000,
cong: 114000,67000,69000,52000,48000,88000,89000,65000,41000,74000,91000,64000,39000,49000,67000,60000,
refl: 25000,19000,18000,
symm: 163000,88000,105000,
false: 18000,
trans: 286000,253000,104000,113000,
equiv2: 219000,199000,
not_not: 178000,
parsing: 1467000,
evaluate: 303000,
equiv_pos2: 146000,41000,64000,64000,77000,40000,
reordering: 340000,
resolution: 240000,311000,333000,388000,473000,472000,230000,224000,194000,266000,318000,
forall_inst: 876000,
equiv_simplify: 273000,279000,
__normalized_input: 16615000,11533000,8184000,8241000,7926000,900000,542000,575000,835000,
rare_rewrite_eq-symm: 209000,

