1; Draft.Scratch_smt_check_7_3467; 2026-04-10 13:47:15.127;
and: 161000,258000,159000,264000,
cong: 304000,344000,175000,163000,121000,196000,184000,128000,54000,68000,236000,109000,98000,236000,156000,112000,89000,83000,45000,42000,97000,96000,56000,56000,74000,63000,196000,201000,158000,228000,106000,108000,62000,59000,76000,58000,243000,165000,105000,86000,103000,87000,95000,57000,78000,
refl: 19000,17000,19000,46000,
trans: 419000,406000,426000,344000,438000,433000,455000,
and_neg: 984000,
and_pos: 650000,662000,
implies: 869000,
parsing: 9304000,
subproof: 1848000,
equiv_pos2: 398000,241000,241000,246000,249000,
reordering: 1122000,1622000,
resolution: 252000,469000,336000,367000,730000,992000,843000,993000,362000,361000,
contraction: 1187000,1137000,
implies_neg1: 2568000,
implies_neg2: 1188000,
__local_input: 93000,125000,
__normalized_input: 3332000,3653000,1311000,1364000,1855000,
rare_rewrite_eq-symm: 319000,471000,306000,468000,312000,367000,

