1; Draft.Scratch_smt_check_7_2579; 2026-04-10 13:48:54.871;
bind: 266000,271000,289000,528000,286000,
cong: 289000,202000,107000,54000,126000,81000,127000,87000,
refl: 34000,76000,33000,
symm: 141000,166000,
trans: 218000,
or_pos: 449000,540000,
implies: 289000,
parsing: 8116000,
subproof: 1737000,
equiv_pos1: 187000,137000,
equiv_pos2: 138000,170000,353000,265000,144000,131000,
not_equiv1: 288000,
not_equiv2: 160000,
reordering: 700000,1061000,938000,583000,613000,
resolution: 174000,172000,223000,223000,280000,287000,359000,438000,462000,275000,306000,225000,226000,201000,238000,287000,325000,464000,
contraction: 417000,
forall_inst: 863000,880000,1589000,1343000,
implies_neg1: 364000,
implies_neg2: 431000,
__local_input: 70000,
__normalized_input: 17631000,5955000,5361000,4907000,1477000,1312000,
rare_rewrite_eq-symm: 219000,
rare_rewrite_bool-impl-elim: 6315000,6370000,12260000,

