1; Draft.Scratch_smt_check_7_20239; 2026-04-10 13:47:59.912;
and: 76000,94000,84000,105000,133000,196000,
bind: 711000,
cong: 417000,308000,253000,223000,203000,169000,167000,
refl: 210000,43000,269000,
trans: 594000,547000,498000,490000,467000,370000,319000,275000,243000,
or_pos: 581000,
and_neg: 223000,
and_pos: 145000,292000,
parsing: 40589000,
aci_simp: 1402000,
equiv_pos1: 103000,
equiv_pos2: 376000,104000,531000,
reordering: 389000,324000,406000,228000,419000,708000,
resolution: 215000,225000,275000,238000,284000,161000,208000,228000,417000,361000,501000,
forall_inst: 1080000,1039000,1241000,
__normalized_input: 5978000,2141000,2155000,1070000,585000,
rare_rewrite_bool-impl-elim: 7420000,
rare_rewrite_bool-or-de-morgan: 6054000,6108000,6399000,6463000,6615000,7049000,7131000,

