1; Draft.Scratch_smt_check_7_15690; 2026-04-10 13:49:54.294;
bind: 190000,266000,261000,
cong: 94000,87000,40000,158000,160000,89000,199000,230000,142000,
refl: 44000,
symm: 125000,119000,116000,
false: 12000,
trans: 152000,124000,125000,114000,211000,194000,134000,127000,266000,266000,267000,238000,
equiv1: 100000,
or_pos: 276000,
implies: 136000,
parsing: 9039000,
evaluate: 317000,306000,451000,605000,675000,
and_intro: 105000,
poly_simp: 2336000,2347000,1809000,1771000,1967000,4469000,
equiv_pos2: 106000,80000,160000,112000,226000,
la_generic: 10502000,
reordering: 389000,
resolution: 116000,161000,207000,178000,200000,187000,265000,179000,175000,213000,253000,320000,
forall_inst: 704000,849000,
la_mult_neg: 272000,
poly_simp_rel: 1013000,1062000,968000,1037000,1112000,
equiv_simplify: 193000,
__normalized_input: 20767000,7176000,1537000,
rare_rewrite_arith-elim-gt: 6532000,
rare_rewrite_arith-elim-lt: 6235000,6446000,12234000,
rare_rewrite_arith-elim-leq: 5911000,25660000,
rare_rewrite_bool-impl-elim: 6207000,
rare_rewrite_bool-double-not-elim: 143000,

