1; Draft.Scratch_smt_check_7_29326; 2026-04-10 13:47:25.610;
bind: 446000,454000,
cong: 193000,207000,206000,581000,243000,68000,164000,113000,75000,103000,67000,151000,158000,108000,346000,
refl: 63000,65000,75000,63000,52000,19000,36000,29000,
symm: 90000,252000,229000,
trans: 270000,262000,235000,271000,375000,115000,200000,240000,248000,249000,
equiv1: 442000,
equiv2: 231000,
or_pos: 552000,
and_neg: 384000,
and_pos: 360000,361000,
implies: 187000,349000,389000,315000,
not_not: 199000,
parsing: 15804000,
aci_simp: 1193000,1714000,1242000,
evaluate: 207000,
subproof: 1115000,2108000,2334000,2097000,
poly_simp: 1976000,2118000,3279000,
equiv_pos2: 202000,309000,335000,581000,297000,460000,
reordering: 988000,584000,796000,
resolution: 193000,184000,186000,279000,296000,297000,219000,241000,299000,370000,509000,638000,652000,369000,392000,207000,236000,209000,340000,600000,605000,742000,803000,309000,301000,476000,526000,519000,378000,
contraction: 264000,623000,582000,651000,487000,
forall_inst: 763000,1067000,1089000,1314000,1329000,
implies_neg1: 253000,672000,438000,550000,
implies_neg2: 220000,573000,521000,403000,
__local_input: 58000,171000,130000,54000,98000,
poly_simp_rel: 1037000,1227000,1868000,
equiv_simplify: 321000,622000,
__normalized_input: 1879000,1275000,1243000,887000,1237000,
rare_rewrite_eq-refl: 119000,
rare_rewrite_bool-eq-false: 6714000,29502000,
rare_rewrite_bool-impl-elim: 7448000,6799000,
rare_rewrite_bool-and-de-morgan: 6372000,6223000,

