1; Draft.Scratch_smt_check_7_5131; 2026-04-10 13:46:50.114;
bind: 267000,227000,377000,356000,361000,
cong: 135000,255000,
refl: 86000,46000,101000,
symm: 128000,130000,128000,
trans: 177000,209000,
equiv1: 178000,
equiv2: 156000,
or_neg: 278000,278000,269000,286000,
or_pos: 188000,178000,180000,185000,338000,316000,313000,336000,334000,343000,
and_neg: 360000,446000,
and_pos: 101000,106000,109000,116000,97000,107000,192000,225000,210000,215000,235000,205000,
implies: 114000,147000,235000,293000,
not_not: 179000,
parsing: 13402000,
subproof: 1206000,1088000,2010000,2032000,
and_intro: 114000,211000,
equiv_pos2: 120000,125000,220000,242000,230000,263000,
not_equiv1: 153000,
not_equiv2: 86000,
reordering: 205000,198000,216000,333000,198000,202000,338000,391000,357000,410000,627000,387000,355000,634000,386000,382000,
resolution: 189000,135000,221000,165000,208000,171000,198000,267000,414000,212000,211000,483000,139000,159000,199000,158000,196000,272000,219000,214000,526000,270000,352000,289000,336000,409000,799000,2429000,673000,429000,416000,1010000,269000,279000,338000,320000,328000,422000,398000,400000,963000,253000,272000,296000,313000,370000,312000,340000,424000,
contraction: 156000,196000,193000,224000,750000,313000,375000,347000,378000,
forall_inst: 709000,704000,690000,708000,1280000,1329000,1228000,1282000,1343000,1302000,
implies_neg1: 286000,324000,291000,295000,
implies_neg2: 129000,134000,255000,269000,
__local_input: 32000,31000,32000,26000,32000,57000,26000,27000,36000,26000,29000,59000,
equiv_simplify: 284000,282000,
__normalized_input: 6515000,855000,857000,991000,
rare_rewrite_bool-impl-elim: 6092000,6123000,11309000,11427000,11422000,
rare_rewrite_bool-double-not-elim: 175000,

