1; Draft.Scratch_smt_check_7_32699; 2026-04-10 13:42:51.475;
bind: 382000,411000,535000,401000,555000,
cong: 229000,
refl: 65000,
trans: 275000,321000,
or_pos: 387000,403000,362000,606000,385000,
implies: 361000,
parsing: 8560000,
aci_simp: 1960000,
subproof: 2813000,
equiv_pos2: 269000,366000,374000,297000,393000,
reordering: 560000,573000,503000,949000,530000,
resolution: 297000,418000,293000,345000,433000,453000,566000,419000,281000,372000,495000,284000,443000,401000,671000,643000,349000,450000,
contraction: 653000,
forall_inst: 1460000,1561000,1455000,1383000,1369000,
implies_neg1: 549000,
implies_neg2: 601000,
__local_input: 122000,
__normalized_input: 1375000,1204000,1178000,1084000,978000,1063000,
rare_rewrite_bool-impl-elim: 11602000,11739000,11223000,11348000,11704000,
rare_rewrite_bool-and-de-morgan: 11487000,

