1; Draft.Scratch_smt_check_7_26069; 2026-04-10 13:51:25.580;
and: 117000,122000,147000,
bind: 547000,297000,345000,536000,296000,
cong: 227000,220000,140000,477000,142000,219000,225000,155000,505000,
refl: 48000,
trans: 340000,243000,231000,350000,239000,
or_neg: 335000,321000,346000,432000,353000,360000,308000,379000,
or_pos: 218000,240000,
and_neg: 372000,365000,
implies: 245000,
parsing: 18674000,
aci_simp: 1266000,1228000,
subproof: 1657000,
equiv_pos1: 136000,138000,
equiv_pos2: 375000,403000,186000,370000,784000,
reordering: 535000,458000,282000,281000,522000,472000,
resolution: 267000,281000,336000,309000,454000,644000,1874000,238000,228000,418000,427000,357000,438000,256000,282000,313000,301000,556000,651000,1889000,
contraction: 733000,326000,723000,
forall_inst: 1108000,851000,1093000,1509000,
implies_neg1: 588000,
implies_neg2: 283000,
__local_input: 406000,
connective_def: 310000,312000,
__normalized_input: 14122000,10821000,11599000,4420000,1296000,1067000,
rare_rewrite_bool-impl-elim: 6703000,
rare_rewrite_bool-and-de-morgan: 6948000,6690000,
rare_rewrite_bool-double-not-elim: 217000,188000,172000,182000,388000,359000,424000,

