1; Draft.Scratch_smt_check_7_15887; 2026-04-10 13:51:30.206;
bind: 1012000,1036000,1033000,993000,
cong: 558000,128000,131000,155000,108000,137000,90000,79000,68000,60000,55000,73000,489000,407000,296000,215000,118000,129000,463000,558000,145000,136000,152000,108000,139000,89000,127000,71000,63000,56000,54000,474000,834000,708000,516000,868000,
refl: 112000,48000,19000,26000,117000,308000,27000,21000,26000,110000,25000,19000,27000,219000,618000,
symm: 473000,
false: 14000,
trans: 395000,942000,925000,885000,894000,545000,581000,587000,970000,936000,898000,909000,1208000,1107000,1144000,
choice: 82000,124000,
equiv2: 422000,825000,
or_neg: 368000,406000,403000,791000,
or_pos: 587000,
not_not: 599000,
parsing: 44328000,
aci_simp: 1945000,1441000,13812000,2954000,
evaluate: 504000,
equiv_pos2: 590000,1378000,1112000,60000,
reordering: 1147000,
resolution: 177000,228000,297000,454000,548000,607000,297000,351000,406000,316000,380000,624000,663000,777000,
sko_forall: 12429000,
forall_inst: 1655000,
equiv_simplify: 529000,1063000,
__normalized_input: 12929000,7849000,9069000,8411000,
rare_rewrite_bool-impl-elim: 8374000,15245000,
rare_rewrite_bool-and-de-morgan: 6789000,7256000,12996000,13956000,
rare_rewrite_bool-double-not-elim: 146000,328000,343000,324000,660000,678000,

